"FECHA";"CENTRO";"ALMACÃ‰N";"PRODUCTO";"FECHA_CADUCIDAD";"CANTIDAD"
2024-11-28;"7701";"1080";"12416";2024-12-16;40
2024-11-28;"7701";"1080";"12529";2024-12-09;68
2024-11-28;"7701";"1080";"12530";2024-12-08;77
2024-11-28;"7701";"1080";"12548";2024-12-08;4
2024-11-28;"7701";"1080";"12548";2024-12-14;8
2024-11-28;"7701";"1080";"12624";2024-12-14;3
2024-11-28;"7701";"1080";"14587";2024-12-08;126
2024-11-28;"7701";"1080";"14715";2024-12-11;70.2
2024-11-28;"7701";"1080";"16017";2024-12-08;13
2024-11-28;"7701";"1080";"16366";2024-12-14;289
2024-11-28;"7701";"1080";"16529";2024-12-15;15
2024-11-28;"7701";"1080";"16680";2024-12-14;68
2024-11-28;"7701";"1080";"17036";2024-12-18;8
2024-11-28;"7701";"1080";"17036";2024-12-06;56
2024-11-28;"7701";"1080";"17036";2024-12-13;5
2024-11-28;"7701";"1080";"2082";2024-12-09;2
2024-11-28;"7701";"1080";"2082";2024-12-13;19
2024-11-28;"7701";"1080";"4011";2024-12-08;74
2024-11-28;"7701";"1080";"4013";2024-12-08;105
2024-11-28;"7701";"1080";"4133";2024-12-13;13
2024-11-28;"7701";"1080";"5746";2024-12-13;37
2024-11-28;"7701";"1080";"17052";2024-12-11;22
2024-11-28;"7701";"1080";"17216";2024-12-14;401
2024-11-28;"7701";"1080";"16368";2024-12-14;32
2024-11-28;"7702";"1001";"11105";2024-12-14;17
2024-11-28;"7702";"1001";"11106";2024-12-08;4
2024-11-28;"7702";"1001";"11107";2024-12-01;4
2024-11-28;"7702";"1001";"11107";2024-12-14;14
2024-11-28;"7702";"1001";"11108";2024-12-08;22
2024-11-28;"7702";"1001";"11109";2024-12-14;42
2024-11-28;"7702";"1001";"11954";2024-12-08;18
2024-11-28;"7702";"1001";"11954";2024-12-14;50
2024-11-28;"7702";"1001";"12528";2024-12-15;2
2024-11-28;"7702";"1001";"12530";2024-12-08;27
2024-11-28;"7702";"1001";"12549";2024-12-06;10
2024-11-28;"7702";"1001";"14644";2024-12-13;31
2024-11-28;"7702";"1001";"16017";2024-12-08;6
2024-11-28;"7702";"1001";"16018";2024-12-01;12
2024-11-28;"7702";"1001";"16019";2024-12-14;10
2024-11-28;"7702";"1001";"16366";2024-12-01;50
2024-11-28;"7702";"1001";"16372";2024-12-14;17
2024-11-28;"7702";"1001";"16373";2024-12-14;33
2024-11-28;"7702";"1001";"16374";2024-12-14;44
2024-11-28;"7702";"1001";"2082";2024-12-13;21
2024-11-28;"7702";"1001";"2123";2024-12-05;4
2024-11-28;"7702";"1001";"4011";2024-12-08;7
2024-11-28;"7702";"1001";"4161";2024-12-01;10
2024-11-28;"7702";"1001";"4162";2024-12-14;242
2024-11-28;"7702";"1001";"4248";2024-12-07;8
2024-11-28;"7702";"1001";"4889";2024-12-14;9
2024-11-28;"7702";"1001";"5244";2024-12-01;8
2024-11-28;"7702";"1001";"5275";2024-12-06;8
2024-11-28;"7702";"1001";"5750";2024-12-05;120
2024-11-28;"7702";"1001";"4249";2024-12-01;4
2024-11-28;"7711";"1001";"10663";2024-12-15;6
2024-11-28;"7711";"1001";"10984";2024-12-15;1
2024-11-28;"7711";"1001";"10986";2024-12-15;105
2024-11-28;"7711";"1001";"11106";2024-12-08;12
2024-11-28;"7711";"1001";"11106";2024-12-14;16
2024-11-28;"7711";"1001";"11107";2024-12-14;7
2024-11-28;"7711";"1001";"11108";2024-12-08;24
2024-11-28;"7711";"1001";"11108";2024-12-14;3
2024-11-28;"7711";"1001";"11175";2024-12-14;2
2024-11-28;"7711";"1001";"11796";2024-12-09;142
2024-11-28;"7711";"1001";"11796";2024-12-12;804
2024-11-28;"7711";"1001";"11796";2024-12-15;102
2024-11-28;"7711";"1001";"11954";2024-12-14;36
2024-11-28;"7711";"1001";"11955";2024-12-08;14
2024-11-28;"7711";"1001";"11955";2024-12-14;36
2024-11-28;"7711";"1001";"11955";2024-12-13;67
2024-11-28;"7711";"1001";"12035";2024-12-11;28
2024-11-28;"7711";"1001";"12035";2024-12-12;381
2024-11-28;"7711";"1001";"12035";2024-12-18;300
2024-11-28;"7711";"1001";"12035";2024-12-14;439
2024-11-28;"7711";"1001";"12035";2024-12-06;38
2024-11-28;"7711";"1001";"12528";2024-12-15;13
2024-11-28;"7711";"1001";"12529";2024-12-09;3
2024-11-28;"7711";"1001";"12530";2024-12-08;22
2024-11-28;"7711";"1001";"12548";2024-12-08;17
2024-11-28;"7711";"1001";"12548";2024-12-06;14
2024-11-28;"7711";"1001";"12550";2024-12-15;6
2024-11-28;"7711";"1001";"14164";2024-12-06;41
2024-11-28;"7711";"1001";"14165";2024-12-06;18
2024-11-28;"7711";"1001";"14587";2024-12-08;71
2024-11-28;"7711";"1001";"14606";2024-12-14;2
2024-11-28;"7711";"1001";"14607";2024-12-08;153
2024-11-28;"7711";"1001";"14714";2024-12-12;60
2024-11-28;"7711";"1001";"14714";2024-12-16;40
2024-11-28;"7711";"1001";"14715";2024-12-16;12
2024-11-28;"7711";"1001";"15592";2024-12-15;2
2024-11-28;"7711";"1001";"15594";2024-12-08;10
2024-11-28;"7711";"1001";"16078";2024-12-09;1
2024-11-28;"7711";"1001";"16078";2024-12-16;148
2024-11-28;"7711";"1001";"16157";2024-12-12;31
2024-11-28;"7711";"1001";"16157";2024-12-14;15
2024-11-28;"7711";"1001";"16233";2024-12-08;35
2024-11-28;"7711";"1001";"16366";2024-12-08;70
2024-11-28;"7711";"1001";"16372";2024-12-14;39
2024-11-28;"7711";"1001";"16372";2024-12-06;128
2024-11-28;"7711";"1001";"16374";2024-12-14;53
2024-11-28;"7711";"1001";"16374";2024-12-06;137
2024-11-28;"7711";"1001";"16530";2024-12-02;16
2024-11-28;"7711";"1001";"16530";2024-12-15;1354
2024-11-28;"7711";"1001";"16679";2024-12-05;16
2024-11-28;"7711";"1001";"17036";2024-12-13;51
2024-11-28;"7711";"1001";"17113";2024-12-12;16
2024-11-28;"7711";"1001";"17114";2024-12-14;7
2024-11-28;"7711";"1001";"17115";2024-12-14;22
2024-11-28;"7711";"1001";"17116";2024-12-14;85
2024-11-28;"7711";"1001";"17117";2024-12-13;96
2024-11-28;"7711";"1001";"2123";2024-12-08;102
2024-11-28;"7711";"1001";"2123";2024-12-15;87
2024-11-28;"7711";"1001";"2123";2024-12-14;69
2024-11-28;"7711";"1001";"4013";2024-12-08;12
2024-11-28;"7711";"1001";"4133";2024-12-13;10
2024-11-28;"7711";"1001";"4162";2024-12-14;132
2024-11-28;"7711";"1001";"4162";2024-12-13;151
2024-11-28;"7711";"1001";"4247";2024-12-05;9
2024-11-28;"7711";"1001";"4247";2024-12-14;101
2024-11-28;"7711";"1001";"4889";2024-12-14;18
2024-11-28;"7711";"1001";"4895";2024-12-06;51
2024-11-28;"7711";"1001";"4921";2024-12-18;110
2024-11-28;"7711";"1001";"4921";2024-12-14;73
2024-11-28;"7711";"1001";"4921";2024-12-13;155
2024-11-28;"7711";"1001";"4923";2024-12-09;56
2024-11-28;"7711";"1001";"4923";2024-12-06;78
2024-11-28;"7711";"1001";"5244";2024-12-14;6
2024-11-28;"7711";"1001";"5275";2024-12-06;53
2024-11-28;"7711";"1001";"5701";2024-12-13;64
2024-11-28;"7711";"1001";"5703";2024-12-18;81
2024-11-28;"7711";"1001";"5709";2024-12-13;16
2024-11-28;"7711";"1001";"5730";2024-12-15;1
2024-11-28;"7711";"1001";"5730";2024-12-18;10
2024-11-28;"7711";"1001";"5735";2024-12-14;1
2024-11-28;"7711";"1001";"5746";2024-12-13;20
2024-11-28;"7711";"1001";"6219239";2024-12-06;91
2024-11-28;"7711";"1001";"8656";2024-12-12;3
2024-11-28;"7711";"1001";"9088";2024-12-05;5
2024-11-28;"7711";"1001";"9088";2024-12-15;8
2024-11-28;"7711";"1001";"5726";2024-12-18;63
2024-11-28;"7711";"1001";"10653";2024-12-12;7
2024-11-28;"7711";"1001";"10654";2024-12-15;420
2024-11-28;"7711";"1001";"1224";2024-12-05;11
2024-11-28;"7711";"1001";"17262";2024-12-09;287
2024-11-28;"7711";"1001";"16495";2024-12-11;2
2024-11-28;"7711";"1001";"16495";2024-12-18;20
2024-11-28;"7711";"1001";"17052";2024-12-11;90
2024-11-28;"7711";"1001";"5748";2024-12-18;68
