idproducto;codigoEAN;descripcion;estacion;peso_STD;estado
5750;7861092157507;Q RICOTTA KIOSKO BLOQ 250G;5;1;A
13828;7702001138289;QUESO MOZARELLA LIGHT KIOSKO 35 G;2;1;A
12549;7702001125494;YOG FNSSE FRTROJ BOT 1670G;2;1;A
12550;7702001125500;MPLX4 BY MULTSAB VASO;3;1;A
4163;7861092141636;RGN BBLE FTLLA BOT 1000G;7;1;A
4247;7861092142473;RGN TZOS MOR BOT 1750G;3;1;A
5764;7861092157644;Q JAVIER KIOSKO AL PESO;10;2.7;A
4249;7861092142497;RGN TZOS FTLLA BOT 1750G;3;1;A
17215;7702001172153;YOG BBLE KIOSKO FTILLA FUN 150G;4;1;A
16230;7702001162307;Q GOUDA KIOSKO LONJ 200G;7;1;A
6219239;7702001062195;ALPINETTE FRESA 140G ECU;6;1;A
6221239;7702001062218;ALPINETTE CEREZA 140G ECU;6;1;A
5765;7861092157651;Q JAVIER KIOSKO 20 LONJ 300G;8;1;A
4923;7861092149236;RGN TZOS MOR VASO 150 G;1;1;A
16681;7702001166817;RGN BBLE MORA 180;4;1;A
5769;7861092157699;Q MIX ESPECIAL KIOSKO CUBO BOL 350G;8;1;A
17037;7702001170371;YOG FINESSE NATURAL 950G;2;1;A
5511;7861092155114;Q PARME KIOSKO RALL BOL 100G;7;1;A
16231;7702001162314;Q CHEDDAR KIOSKO LONJ 400G;8;1;A
8654;7861092186545;BONYURT FRUTILLA ZUCARITAS;3;1;A
5779;2959265000004;Q SANDU KIOSKO LONJ AL PESO;10;2.5;A
14715;7702001147151;Q MOZAR PIZZ KIOSKO LONJ AL PESO COR;10;2.7;A
16078;7702001160785;PACK Q SAND KIOSKO BLOQ 146G JAM;4;1;A
5778;7861092157781;Q SANDU KIOSKO 20 LONJ 300G;8;1;A
10653;7702001106530;YOG BBLE KIOSKO FTLLA FUN 900G;9;1;A
16407;7702001164073;Q ESPAR CHED KIOSKO DOYP 200G;8;1;A
10830;7702001108305;YOG BBLE KIOSKO DZNO BOT 3.5KG;9;1;A
12036;7702001120369;Q CHED KIOSKO 10 LONJ 200G;5;1;A
10986;7702001109869;YOG BBLE KID KK DZNO BOT 120G;4;1;A
5731;7861092157316;Q MOZAR KIOSKO BLOQ 500G;5;1;A
5706;7861092157064;DULCE LCH KIOSKO VASO 250G;7;1;A
4010;7861092140103;RGN LGHT FTLLA BOT 180G;4;1;A
16679;7702001166794;RGN BBLE MORA 1750;3;1;A
10071;7702001100712;Q RICOTTA KIOSKO BLOQ 450G;5;1;A
10096;7702001100965;Q CREMO DEL CAMPO KIOSKO BLOQ 450G;5;1;A
14714;7702001147144;Q MOZZARELLA PIZZ KIOSKO RALLADO 1.5K;10;1;A
16745;7702001167456;SELECCION ESPECIAL KIOSKO 150G;8;1;A
16018;7702001160181;YOG FNSSE DURAZNO BOT 950G;2;1;A
16019;7702001160198;YOG FNSSE DURAZNO BOT 180G;2;1;A
17069;7702001170692;YOG FINESSE NAT VASO 150g;1;1;A
17113;7702001171132;BON YURT CHOCAPIC 158G;8;1;A
5755;7861092157552;Q HIERBAS KIOSKO AL PESO;10;2.7;A
11107;7702001111077;YOG BBLE KIOSKO DZNO BOT 950G;7;1;A
11105;7702001111053;YOG BBLE KIOSKO FTLLA BOT 950G;7;1;A
11796;7702001117963;BY AREQ VASO 165G;6;1;A
5757;7861092157576;Q HIERBAS KIOSKO LONJ AL PESO;10;2.5;A
13829;7702001138296;MPLX5 QUESO MOZARELLA LIGHT KIOSKO 35 G;2;1;A
11953;7702001119530;YOG FNSSE FRTROJ BOT 950G;2;1;A
16494;2953425000002;QUESO KIOSKO JAVIERINO LONJ 1KG AL PESO;7;2.5;A
5735;7861092157354;Q MOZAR LGHT KIOSKO BLOQ 200G;8;1;A
5701;7861092157019;CREM LCH AGRIA KIOSKO GAR 3.5KG;9;1;A
13535;2953416000004;Q JAVIER KIOSKO INST LONJ AL PESO;10;2.5;A
1224;7861092112247;MPLX4 BY BLCK VASO 165G;3;1;A
12300;7702001123001;YOG BBLE KIOSKO MOR BOT 3.5KG;2;1;A
12035;7702001120352;Q MOZAR KIOSKO 10 LONJ 150G;5;1;A
5758;7861092157583;Q HOLAN KIOSKO AL PESO;10;2.7;A
16493;2953424000003;QUESO KIOSKO HOLANDES LONJ 1KG AL PESO;10;2.5;A
16496;2953427000000;QUESO KIOSKO HIERBAS LONJ 1 KG AL PESO;7;2.5;A
8655;7861092186552;BY ZUC VASO 170G ECU;2;1;A
16678;7702001166787;YOG BBLE KIOSKO GNBN 900G;9;1;A
5777;7861092157774;Q SANDU KIOSKO 10 LONJ 150G;5;1;A
13645;7702001136452;CAJA BARQ DE AREQ 240G;6;1;A
11954;7702001119547;YOG FNSSE FRTROJ BOT 180G;2;1;A
11955;7702001119554;YOG FNSSE SBILA BOT 950G;2;1;A
14719;7702001147199;MANTEQUILLA CON SAL KIOSKO 250G;8;1;A
5512;7861092155121;Q PARME KIOSKO RALL BOL 250G;7;1;A
5745;7861092157453;Q MOZAR PIZZ KIOSKO AL PESO;10;3;A
5761;7861092157613;Q HOLAN KIOSKO LONJ AL PESO;10;2.5;A
16527;7702001165278;Q HOLANDES KIOSKO LONJAS 75G;5;1;A
12530;7702001125302;RGN CER GDLLA BOT 180G;4;1;A
16371;7702001163717;Q ANDINO KIOSKO RUEDA 450G;7;1;A
17217;7702001172177;YOG BBLE KIOSKO DURAZNO FUN 150G;4;1;A
5717;7861092157170;Q AMERIC KIOSKO 20 LONJ 300G;8;1;A
5275;7861092152755;RGN BBLE DZNO BOT 1750G;3;1;A
17024;7702001170241;YOG FNSSE FRTROJ MUSLI 155G;6;1;A
4248;7861092142480;RGN TZOS DZNO BOT 1750G;3;1;A
16680;7702001166800;RGN BBLE MORA 1000;7;1;A
8414;7861092184145;AREQUIPE VASO 50G ECU;9;1;A
4865;7861092195998;KUMIS ORIG BOT 1750G;3;1;A
4454239;7702001044542;AVENA CANELA VASO 250G ECU;1;1;A
12624;7702001126248;MPX4 YOG FNSSE MULTSAB BOT 180G;3;1;A
11322;7702001113224;Q ESPAR CHED KIOSKO VASO 45G;1;1;A
8208;7861092182080;AREQUIPE GAR 4.6KG;7;1;A
8260;7861092182608;AREQUIPE VASO 250G ECU;8;1;A
8261;7861092182615;AREQUIPE VASO 500G ECU;8;1;A
5759;7861092157590;Q HOLAN KIOSKO 20 LONJ 300G;8;1;A
16232;7702001162321;Q AMERIC KIOSKO LONJ 150G;2;1;A
5771;7861092157712;Q PROVO AHUM KIOSKO BLOQ 260G;8;1;A
16529;7702001165292;Q MOZZARELLA HIERBAS LONJAS 150G;5;1;A
5772;7861092157729;Q PROVO AHUM KIOSKO AL PESO;10;1.6;A
14606;7702001146062;YOG BBLE KID KK MORA BOT 120G;4;1;A
14607;7702001146079;YOG BBLE KID KK MORA BOT 180G;3;1;A
16513;7702001165131;GRIEG KIOSKO MOR Y ARAND 120;4;1;A
5729;7861092157293;Q MOZAR KIOSKO BLOQ 200G;5;1;A
10992;7702001109920;MPX6 YOG BBLE KID KK MULTSAB BOT 120G;4;1;A
2122;7861092121225;RGN CER PITA BOT 1000G;7;1;A
16511;7702001165117;GRIEG KIOSKO FRUT ROJ 400;4;1;A
16274;7702001162741;KIOSKO MIX LONJEADOS 400 G;6;1;A
5726;7861092157262;Q FRES CRIOL KIOSKO AL PESO;10;3;A
5760;7861092157606;Q HOLAN KIOSKO 10 LONJ 150G;5;1;A
5510;7861092155107;Q PARME KIOSKO RALL BOL 40G;7;1;A
16744;7702001167449;CREMA DE LECHE ALPINA 200G;2;1;A
12299;7702001122998;YOG DUO KIOSKO PINA COCO FUN 900G;2;1;A
10127;7702001101276;Q MOZAR KIOSKO SNACK 50G;8;1;A
10829;7702001108299;YOG BBLE KIOSKO FTLLA BOT 3.5KG;9;1;A
17051;7702001170517;KIOSKO CHEDDAR LONJAS LINEA DIARIA 75G;5;1;A
16374;7702001163748;YOG BBLE KIOSKO MORA 180;9;1;A
16375;7702001163755;MPX6 YOG BBLE KIOSKO 180;3;1;A
15997;7702001159970;QUESO SANDUCHE KIOSKO 75G;8;1;A
14180;2953418000002;Q AMERIC LONJ BKING AL PESO;10;1.6;A
14716;7702001147168;Q AMERIC KIOSKO LONJ AL PESO COR;10;1.6;A
16373;7702001163731;YOG BBLE KIOSKO DZNO 180;9;1;A
16514;7702001165148;GRIEG KIOSKO NATURAL 400;4;1;A
16515;7702001165155;GRIEG KIOSKO NATURAL 120;4;1;A
16366;7702001163663;YOG FNSSE VAINILLA 180;2;1;A
5719;2959248000007;Q AMERIC KIOSKO LONJ AL PESO;10;1.6;A
5753;7861092157538;Q GOUDA KIOSKO BLOQ 350G;8;1;A
5770;7861092157705;Q MIX ESPECIAL KIOSKO CUBO BOL 500G;8;1;A
5780;7861092157804;Q MIX MEX KIOSKO RALL BOL 300G;8;1;A
16495;2953426000001;QUESO KIOSKO MOZZARELLA LONJ 1KG AL PESO;7;2.7;A
16530;7702001165308;BY MINI GOMITAS 127G;3;1;A
5244;7861092152441;RGN BBLE FTLLA BOT 1750G;3;1;A
9088;7861092190887;MPLX4 BY MULTSAB VASO ECU;3;1;A
16512;7702001165124;GRIEG KIOSKO MOR Y ARAND 400;4;1;A
12096;7702001120963;Q PARME KIOSKO CUNA 300G;10;1;A
3183;7861092131835;MPLX6 AVENA ORIG VASO 250G;6;1;A
8656;7861092186569;BY FROOT LOOPS VASO 154 G;6;1;A
16743;7702001167432;DULCE DE LECHE KIOSKO DOYPACK 100G;7;1;A
12416;7702001124169;Q AMASADO KIOSKO BLOQ 450G;5;1;A
17115;7702001171156;BY MINI CRUNFRE VASO 90G;2;1;A
17116;7702001171163;BY MINI CANPOP VASO 105G;6;1;A
17117;7702001171170;BY MINI MASMELOS 88G;7;1;A
17025;7702001170258;YOG FNSSE DURAZNO MUSLI 155G;6;1;A
16233;7702001162338;Q HOLAN KIOSKO BLOQ 400G;7;1;A
16234;7702001162345;Q HIERBAS SEMIMAD KIOSKO 400G;5;1;A
17155;7702001171552;MQUILLA NAT KIOSKO 1KG INST MOD OTROS;5;1;A
16518;7702001165186;MPLX4 GRIEG KIOSKO MULTISAB 480;3;1;A
5763;7861092157637;Q JAVIER KIOSKO BLOQ 320G;7;1;A
10984;7702001109845;YOG BBLE KID KK FTLLA BOT 120G;4;1;A
11175;7702001111756;YOG BBLE KID KK FTLLA BOT 180G;3;1;A
11177;7702001111770;YOG BBLE KID KK DZNO BOT 180G;3;1;A
2082;7861092120822;MPLX4 RGN TZOS MULTSAB VASO 150G;3;1;A
16017;7702001160174;YOG FNSSE DURAZNO BOT 1670G;2;1;A
5703;7861092157033;CREM LCH NAT KIOSKO GAR 3.5KG;9;1;A
17114;7702001171149;BON YURT MINI HOJUELAS 87G;3;1;A
5730;7861092157309;Q MOZAR KIOSKO BLOQ 350G;5;1;A
17053;7702001170531;KIOSKO SANDUCHE LONJAS LINEA DIARIA 75G;5;1;A
16157;7702001161577;Q MOZZAR KIOSKO 5 LONJ 75G;2;1;A
12319;7702001123193;Q PROVO AHUM KIOSKO 10 LONJ 150G;8;1;A
11085;7702001110858;MPLX4 AVENA CAN VASO 250G;1;1;A
11956;7702001119561;YOG FNSSE SBILA BOT 180G;2;1;A
4160;7861092141605;RGN BBLE DZNO BOT 180G;4;1;A
12320;7702001123209;Q PROVO AHUM KIOSKO LONJ 1KG;7;1;A
14644;7702001146444;YOG NAT KIOSKO BOTELLA 950G;7;1;A
16156;7702001161560;Q CHED KIOSKO 5 LONJ 75G;5;1;A
16158;7702001161584;Q AMERIC KIOSKO 5 LONJ 75G;8;1;A
5767;7861092157675;Q JAVIER KIOSKO LONJ AL PESO;10;2.4;A
5746;7861092157460;Q MOZAR PIZZ KIOSKO 20 LONJ 300G;5;1;A
5747;7861092157477;Q MOZAR PIZZ KIOSKO LONJ AL PESO;10;2.5;A
2121;7861092121218;RGN CER PITA BOT 180G;4;1;A
5818;7861092158184;Q FRES KIOSKO BLOQ 450G;5;1;A
4895;7861092148956;RGN TZOS DZNO BOT 1000G;7;1;A
4920;7861092149205;RGN TZOS DZNO VASO 150G;1;1;A
4921;7861092149212;RGN TZOS FTLLA VASO 150G;1;1;A
5712;7861092157125;MQUILLA NAT KIOSKO AL PESO;10;5;A
16510;7702001165100;GRIEG KIOSKO FRUT ROJ 120;4;1;A
6222239;7702001062225;ALPINETTE MELOCOTON 140G ECU;6;1;A
12202239;7702001122028;ALPINETTE MARACUYA 140G ECU;6;1;A
15593;7702001155934;Q MOZZARELLA DESLACTOSADO 500 GR;5;1;A
17014;7702001170142;Q HOLANDES KIOSKO RALLADO 1500G;10;1;A
6226239;7702001062263;ALPINETTE MORA 140G ECU;6;1;A
8206;7861092182066;MPLX6 AREQUIPE VASO 50G;8;1;A
5732;7861092157323;Q MOZAR KIOSKO BLOQ 700G;8;1;A
15592;7702001155927;YOG BBLE KIOSKO NATURAL FUN 900G;3;1;A
4134;7861092141346;MPLX6 RGN BBLE MULTSAB BOT 180G;3;1;A
10179;7702001101795;MPLX6 Q MOZAR KIOSKO SNACK 50G;8;1;A
15459;7702001154593;AREQUIPE Y PRETZEL STICKS 75 GRAMOS;3;1;A
15565;7702001155651;FOURPACK AREQUIPE Y PRETZELS 75 GR;3;1;A
16906;7702001169061;MPLX6 AVENA FINESSE VASO 250G;6;1;A
12528;7702001125289;RGN CER GDLLA BOT 1750G;3;1;A
16235;7702001162352;Q CHEDDAR KIOSKO BLOQ 400G;7;1;A
11108;7702001111084;YOG BBLE KIOSKO DZNO BOT 1700G;4;1;A
4012;7861092140127;RGN LGHT FTLLA BOT 1750G;3;1;A
16408;7702001164080;Q ESPAR MOZZ KIOSKO DOYP 200G;5;1;A
4450239;7702001044504;AVENA ORIGINAL VASO 250G ECU;1;1;A
14587;7702001145874;KUMIS ORIG BOT 1000G ECU;7;1;A
10990;7702001109906;YOG BBLE KIOSKO MOR FUN 900G;9;1;A
5736;7861092157361;Q MOZAR LGHT KIOSKO BLOQ 500G;5;1;A
16386;7702001163861;CREM LCH AGRIA KIOSKO DOYP 200G;2;1;A
5737;7861092157378;Q MOZAR LGHT KIOSKO BLOQ 700G;8;1;A
4013;7861092140134;MPLX4 RGN LGHT FTLLA BOT 180G;3;1;A
4133;7861092141339;MPLX6 RGN TZOS MULTSAB VASO 150G;3;1;A
12548;7702001125487;YOG FNSSE SBILA BOT 1670G;2;1;A
4889;7861092148895;RGN TZOS MOR BOT 1000G;7;1;A
14713;7702001147137;Q JAVIERINO KIOSKO RALLADO 1.5K;10;1;A
12529;7702001125296;RGN CER GDLLA BOT 1000G;7;1;A
11106;7702001111060;YOG BBLE KIOSKO FTLLA BOT 1700G;4;1;A
16367;7702001163670;YOG FNSSE VAINILLA 950;2;1;A
12037;7702001120376;Q MIX GOURMET KIOSKO CUBO BOL 350G;8;1;A
4161;7861092141612;RGN BBLE DZNO BOT 1000G;7;1;A
4162;7861092141629;RGN BBLE FTLLA BOT 180G;4;1;A
10518;7702001105182;Q HOLAN KIOSKO LONJ 500G BKING;10;1;A
16236;7702001162369;Q MOZAR HIERBAS KIOSKO BLOQ 500G;5;1;A
17216;7702001172160;YOG BBLE KIOSKO MORA FUN 150G;4;1;A
11109;7702001111091;YOG BBLE KIOSKO MOR BOT 950G;7;1;A
17052;7702001170524;KIOSKO MOZZARELL LONJAS LINEA DIARIA 75G;5;1;A
16368;7702001163687;YOG FNSSE VAINILLA 1650;2;1;A
16372;7702001163724;YOG BBLE KIOSKO FTILLA 180;9;1;A
17036;7702001170364;YOG FINESSE NATURAL 1650G;2;1;A
14164;7702001141647;MPLX4 ALPINETTE MOR 140G;6;1;A
14165;7702001141654;MPLX4 ALPINETTE CZA 140G;6;1;A
11311;7702001113118;MPLX18 AREQUIPE VASO 50G;8;1;A
10663;7702001106639;BY NEON VASO 170G;6;1;A
16272;7702001162727;Q KIOSKO MIX RALLADOS 300G;8;1;A
5523;7861092155237;BY BLCK VASO 165G;2;1;A
15594;7702001155941;YOG BBLE KIOSKO NRJLA BOT 950G;7;1;A
2123;7861092121232;RGN CER PITA BOT 1750G ECU;3;1;A
5766;7861092157668;Q JAVIER KIOSKO 10 LONJ 150G;5;1;A
4894;7861092148949;RGN TZOS FTLLA BOT 1000G;7;1;A
8499239;7702001084999;AVENA FINESSE VASO 250G ECU;6;1;A
4011;7861092140110;RGN LGHT FTLLA BOT 1000G;7;1;A
5709;7861092157095;DULCE LCH KIOSKO VASO 500G;7;1;A
5513;7861092155138;Q PARME KIOSKO RALL BOL 500G;7;1;A
5733;7861092157330;Q MOZAR KIOSKO BLOQ 900G;8;1;A
5711;7861092157118;MQUILLA NAT KIOSKO 1KG;10;1;A
5748;7861092157484;Q MOZAR PIZZ KIOSKO RALL BOL 300G;8;1;A
5749;7861092157491;RQSON KIOSKO BLOQ 500G;5;1;A
5546;2959269000000;Q PARME KIOSKO CUNA AL PESO;10;2.4;A
11037;7702001110377;MPLX4 BY NEON VASO 170G;3;1;A
11320;7702001113200;Q ESPAR MOZAR KIOSKO VASO 45G;1;1;A
10654;7702001106547;YOG BBLE KIOSKO DZNO FUN 900G;99;1;A
11219;7702001112191;YOG TZOS KIOSKO FTLLA VASO 150G;99;1;A
11220;7702001112201;YOG TZOS KIOSKO DZNO VASO 150G;99;1;A
11223;7702001112231;YOG TZOS KIOSKO DZNO BOT 950G;99;1;A
11224;7702001112241;YOG TZOS KIOSKO MOR BOT 950G;99;1;A
11321;7702001113211;Q ESPAR MOZAR KIOSKO VASO 240G;99;1;A
11836;7702001118361;YOG DUO KIOSKO PINA COCO BOT 950G;99;1;A
12122;7702001121221;BY MINI CRUNFRE VASO 114G;99;1;A
12552;7702001125521;YOG CER KIOSKO FTLLA VASO 120G;99;1;A
14584;7702001145841;BY MINI CANPOP VASO 130G;99;1;A
14721;7702001147211;MQUILLA SIN SAL 250KG;99;1;A
15673;7702001156731;RGN BBLE CIRUELA 180;99;1;A
15674;7702001156741;RGN BBLE CIRUELA 1000;99;1;A
15803;7702001158031;GRIEGO FRUT ROJ 500G;99;1;A
15804;7702001158041;GRIEGO NAT 500G;99;1;A
16259;7702001162591;GRIEGO LIMON 150G;99;1;A
8653;7861092186534;BY CHOCKRI VASO 169G;99;1;A
